2012-03-30 20:29:30 Debug: Notice (8): Undefined property: Pf::$User in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 82]
2012-03-30 20:29:30 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 82]
2012-03-30 20:37:27 Debug: Notice (8): Undefined variable: Pf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 219]
2012-03-30 20:37:27 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 219]
2012-03-30 20:37:27 Debug: Notice (8): Undefined variable: ContatoPf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:37:27 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:37:27 Debug: Notice (8): Undefined variable: Graduacao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:37:27 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:38:02 Debug: Notice (8): Undefined property: Pf::$invalidateMessages in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 219]
2012-03-30 20:38:02 Debug: Notice (8): Undefined property: PfsController::$ContatoPf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:38:02 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:38:02 Debug: Notice (8): Undefined property: PfsController::$Graduacao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:38:02 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:40:28 Debug: Notice (8): Undefined property: Pf::$invalidateMessages in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 219]
2012-03-30 20:40:28 Debug: Notice (8): Undefined property: PfsController::$ContatoPf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:40:28 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:40:28 Debug: Notice (8): Undefined property: PfsController::$Graduacao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:40:28 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:41:38 Debug: Notice (8): Undefined property: PfsController::$ContatoPf in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:41:38 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 220]
2012-03-30 20:41:38 Debug: Notice (8): Undefined property: PfsController::$Graduacao in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-30 20:41:38 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 221]
2012-03-31 02:45:30 Debug: Notice (8): Undefined variable: user in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 195]
2012-03-31 02:45:30 Debug: Notice (8): Undefined variable: user in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 195]
2012-03-31 02:45:31 Debug: Notice (8): Undefined variable: user in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 195]
2012-03-31 02:45:32 Debug: Notice (8): Undefined variable: user in [C:\xampp\htdocs\cadastro_cultural\controllers\pfs_controller.php, line 195]
